Depth,Map,Width,Height,PointA,PointB,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,AvgTime,Distance,NodesVisited
4,A,100,100,(6.66667 6.66667),(93.3333 6.66667),0.001028,0,0.000998,0,0.000967,0,0.001037,0,0.000988,0.001004,0.0006022,311.855,111
4,A,100,100,(6.66667 93.3333),(93.3333 6.66667),0.000997,0.000996,0,0.001,0.000997,0,0.000993,0.001017,0.000994,0.000983,0.0007977,404.52,120
4,A,100,100,(6.66667 93.3333),(93.3333 93.3333),0.000964,0,0.001035,0,0,0.000998,0,0.000997,0,0.000995,0.0004989,318.39,103
4,A,100,100,(6.66667 6.66667),(93.3333 93.3333),0,0.000999,0.001031,0,0.001005,0.000993,0,0.000958,0.001,0.001004,0.000699,364.658,116
4,A,200,200,(13.3333 13.3333),(186.667 13.3333),0,0.000998,0,0,0.000997,0,0.000998,0,0.000997,0,0.000399,623.71,116
4,A,200,200,(13.3333 186.667),(186.667 13.3333),0,0.001001,0.001004,0.000989,0,0.001014,0,0.00098,0,0.000996,0.0005984,809.039,117
4,A,200,200,(13.3333 186.667),(186.667 186.667),0,0.000999,0,0.000995,0,0.000999,0,0.000997,0,0,0.000399,636.78,100
4,A,200,200,(13.3333 13.3333),(186.667 186.667),0.000997,0,0.000964,0,0,0.001026,0,0.000972,0,0.000995,0.0004954,729.315,97
4,A,400,400,(26.6667 26.6667),(373.333 26.6667),0.000996,0,0.001028,0,0.000998,0.000996,0,0.000964,0.000997,0,0.0005979,1247.42,116
4,A,400,400,(26.6667 373.333),(373.333 26.6667),0.000997,0.000996,0.001015,0.00098,0,0.000997,0.000998,0.001,0.001,0,0.0007983,1618.08,117
4,A,400,400,(26.6667 373.333),(373.333 373.333),0,0.000996,0.001,0,0.001026,0,0.000966,0.000998,0,0.000998,0.0005984,1273.56,100
4,A,400,400,(26.6667 26.6667),(373.333 373.333),0,0.001029,0.000965,0,0.000996,0.000999,0,0,0.000997,0,0.0004986,1458.63,97
4,A,500,500,(33.3333 33.3333),(466.667 33.3333),0,0.000967,0.000997,0.000997,0,0.000997,0.000997,0,0.000998,0.000996,0.0006949,1559.28,116
4,A,500,500,(33.3333 466.667),(466.667 33.3333),0,0.000997,0.001029,0,0.000996,0.001003,0.00099,0,0.001002,0.000962,0.0006979,2022.6,117
4,A,500,500,(33.3333 466.667),(466.667 466.667),0.000996,0,0.000997,0.000998,0,0.000996,0,0.000998,0,0.000997,0.0005982,1591.95,100
4,A,500,500,(33.3333 33.3333),(466.667 466.667),0.000997,0,0.000998,0.000997,0,0.000998,0.000997,0,0.001031,0.000998,0.0007016,1823.29,97
4,A,600,600,(40 40),(560 40),0,0.000997,0,0.000998,0,0.000997,0,0.000997,0,0.000998,0.0004987,1871.13,116
4,A,600,600,(40 560),(560 40),0,0.000996,0,0.000998,0,0.000997,0,0.000997,0,0.001,0.0004988,2427.12,117
4,A,600,600,(40 560),(560 560),0,0.001002,0.000992,0,0.000999,0,0.000997,0.000531,0.000975,0,0.0005496,1910.34,100
4,A,600,600,(40 40),(560 560),0,0.000998,0.000996,0,0.000997,0,0.001002,0.000996,0,0.000997,0.0005986,2187.95,98
4,A,1000,1000,(66.6667 66.6667),(933.333 66.6667),0,0.000997,0,0.000997,0.000999,0,0.000997,0.000997,0,0.000998,0.0005985,3118.55,116
4,A,1000,1000,(66.6667 933.333),(933.333 66.6667),0,0.000997,0.000998,0.000996,0,0.001002,0,0.000995,0.000996,0.000997,0.0006981,4045.2,117
4,A,1000,1000,(66.6667 933.333),(933.333 933.333),0.000998,0.000997,0,0.000997,0,0.000997,0,0.000998,0.000996,0,0.0005983,3183.9,100
4,A,1000,1000,(66.6667 66.6667),(933.333 933.333),0,0.000996,0,0,0.001001,0,0.000995,0.000528,0,0.000989,0.0004509,3646.58,97
4,A,1500,1500,(100 100),(1400 100),0.000998,0,0.001003,0.000992,0,0.000997,0.000997,0.000997,0,0.000998,0.0006982,4677.83,116
4,A,1500,1500,(100 1400),(1400 100),0,0.000996,0,0.001001,0,0.000994,0,0.000998,0.001004,0,0.0004993,6067.79,117
4,A,1500,1500,(100 1400),(1400 1400),0.000998,0,0,0.000997,0,0.000998,0,0,0.001029,0,0.0004022,4775.85,100
4,A,1500,1500,(100 100),(1400 1400),0,0.000997,0,0.000997,0.001997,0.000996,0.000998,0.001009,0,0.000985,0.0007979,5469.86,98
4,A,3000,3000,(200 200),(2800 200),0,0.000997,0,0.000997,0,0.000998,0,0,0.000996,0,0.0003988,9355.65,116
4,A,3000,3000,(200 2800),(2800 200),0.000997,0,0.000998,0,0.001,0,0.000995,0,0.000996,0,0.0004986,12135.6,117
4,A,3000,3000,(200 2800),(2800 2800),0.000997,0,0.000997,0,0,0.000997,0,0.000998,0,0,0.0003989,9551.7,100
4,A,3000,3000,(200 200),(2800 2800),0.000996,0,0.000998,0,0.000997,0,0,0.000997,0,0,0.0003988,10939.7,98
4,B,100,100,(6.66667 6.66667),(93.3333 6.66667),0.000997,0,0.000999,0,0.000997,0,0.000998,0,0.000998,0,0.0004989,0,-1
4,B,100,100,(6.66667 93.3333),(93.3333 6.66667),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,100,100,(6.66667 93.3333),(93.3333 93.3333),0,0,0,0,0,0,0.000997,0,0,0,9.97e-005,0,-1
4,B,100,100,(6.66667 6.66667),(93.3333 93.3333),0.000996,0,0.000997,0,0,0.000997,0,0.000997,0,0,0.0003987,0,-1
4,B,200,200,(13.3333 13.3333),(186.667 13.3333),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,200,200,(13.3333 186.667),(186.667 13.3333),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,200,200,(13.3333 186.667),(186.667 186.667),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,200,200,(13.3333 13.3333),(186.667 186.667),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,400,400,(26.6667 26.6667),(373.333 26.6667),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,400,400,(26.6667 373.333),(373.333 26.6667),0.001004,0,0,0,0,0,0,0,0,0,0.0001004,0,-1
4,B,400,400,(26.6667 373.333),(373.333 373.333),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,400,400,(26.6667 26.6667),(373.333 373.333),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,500,500,(33.3333 33.3333),(466.667 33.3333),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,500,500,(33.3333 466.667),(466.667 33.3333),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,500,500,(33.3333 466.667),(466.667 466.667),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,500,500,(33.3333 33.3333),(466.667 466.667),0.000997,0,0,0,0,0,0,0,0,0,9.97e-005,0,-1
4,B,600,600,(40 40),(560 40),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,600,600,(40 560),(560 40),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,600,600,(40 560),(560 560),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,600,600,(40 40),(560 560),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,1000,1000,(66.6667 66.6667),(933.333 66.6667),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,1000,1000,(66.6667 933.333),(933.333 66.6667),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,1000,1000,(66.6667 933.333),(933.333 933.333),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,1000,1000,(66.6667 66.6667),(933.333 933.333),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,1500,1500,(100 100),(1400 100),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,1500,1500,(100 1400),(1400 100),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,1500,1500,(100 1400),(1400 1400),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,1500,1500,(100 100),(1400 1400),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,3000,3000,(200 200),(2800 200),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,3000,3000,(200 2800),(2800 200),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,3000,3000,(200 2800),(2800 2800),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,3000,3000,(200 200),(2800 2800),0,0,0,0,0,0,0,0,0,0,0,0,-1
5,A,100,100,(6.66667 6.66667),(93.3333 6.66667),0.00203,0.000992,0.002002,0.000957,0.001051,0.00098,0.000995,0.000998,0.000995,0.001003,0.0012003,303.917,202
5,A,100,100,(6.66667 93.3333),(93.3333 6.66667),0.000996,0.000996,0.001995,0.000998,0.000999,0.000996,0.001994,0.000998,0.001994,0.001995,0.0013961,396.188,228
5,A,100,100,(6.66667 93.3333),(93.3333 93.3333),0.000997,0.000997,0.001995,0.000997,0.000998,0.000997,0.000997,0.000997,0.000997,0.000997,0.0010969,317.603,234
5,A,100,100,(6.66667 6.66667),(93.3333 93.3333),0.001,0.000994,0,0.000998,0.000997,0.000997,0.000999,0.000999,0.000997,0.002002,0.0009983,364.658,195
5,A,200,200,(13.3333 13.3333),(186.667 13.3333),0.000997,0.000997,0.000997,0.000998,0.000997,0.000998,0.000997,0.000997,0.000997,0.000997,0.0009972,607.834,206
5,A,200,200,(13.3333 186.667),(186.667 13.3333),0.00199,0.000997,0.000997,0.000998,0.001995,0.000998,0.000997,0.000997,0.001995,0.000997,0.0012961,792.376,224
5,A,200,200,(13.3333 186.667),(186.667 186.667),0.001995,0.000998,0.000996,0.000997,0.001995,0.000998,0.000997,0.000997,0.001995,0.000997,0.0012965,635.206,238
5,A,200,200,(13.3333 13.3333),(186.667 186.667),0.000997,0.000997,0.001009,0,0.001994,0.000997,0.000996,0,0.000997,0.000998,0.0008985,729.315,191
5,A,400,400,(26.6667 26.6667),(373.333 26.6667),0.001958,0,0.00103,0.000998,0.000962,0.001027,0.000993,0.001013,0.000991,0.000948,0.000992,1215.67,206
5,A,400,400,(26.6667 373.333),(373.333 26.6667),0.001026,0.002001,0.000997,0.000991,0.001,0.001001,0.001994,0.000998,0.001002,0.000991,0.0012001,1584.75,224
5,A,400,400,(26.6667 373.333),(373.333 373.333),0.001,0.001991,0.001997,0.000995,0.002994,0.001992,0.001995,0.000998,0.001994,0.001,0.0016956,1270.41,238
5,A,400,400,(26.6667 26.6667),(373.333 373.333),0.000997,0.001994,0.000998,0.002,0.000993,0.000996,0.000998,0.001993,0.000997,0.000998,0.0012964,1458.63,191
