Depth,Map,Width,Height,PointA,PointB,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,AvgTime,Distance,NodesVisited
4,A,100,100,(6.66667 6.66667),(93.3333 6.66667),0.006976,0.004954,0.002992,0.002992,0.002991,0.001995,0.002992,0.002991,0.002993,0.002991,0.0034867,305.531,72
4,A,100,100,(6.66667 93.3333),(93.3333 6.66667),0.001988,0.002001,0.002969,0.002003,0.003964,0.002011,0.002975,0.002019,0.003001,0.001961,0.0024892,396.601,81
4,A,100,100,(6.66667 93.3333),(93.3333 93.3333),0.00196,0.000998,0.001994,0.001996,0.001995,0.000996,0.000997,0.001995,0.000997,0.001995,0.0015923,311.052,59
4,A,100,100,(6.66667 6.66667),(93.3333 93.3333),0.002992,0.000998,0.001993,0.001995,0.001995,0.001995,0.000997,0.001995,0.000997,0.001994,0.0017951,360.4,61
4,A,200,200,(13.3333 13.3333),(186.667 13.3333),0.001995,0.001995,0.005985,0.001996,0.00299,0.000997,0.002001,0.001989,0.001994,0.002992,0.0024934,611.062,69
4,A,200,200,(13.3333 186.667),(186.667 13.3333),0.001993,0.001995,0.001994,0.001995,0.001995,0.001994,0.002993,0.001994,0.001995,0.001997,0.0020945,793.202,78
4,A,200,200,(13.3333 186.667),(186.667 186.667),0.001994,0.000997,0.001994,0.000998,0.001995,0.000997,0.002001,0.000991,0.001995,0.000997,0.0014959,622.104,59
4,A,200,200,(13.3333 13.3333),(186.667 186.667),0.000993,0.001995,0.000997,0.001993,0.001994,0.001995,0.002001,0.00199,0.001993,0.001995,0.0017946,720.8,62
4,A,400,400,(26.6667 26.6667),(373.333 26.6667),0.001995,0.002992,0.002991,0.001995,0.002994,0.001993,0.002992,0.001994,0.001995,0.002992,0.0024933,1222.12,69
4,A,400,400,(26.6667 373.333),(373.333 26.6667),0.008965,0.001994,0.002992,0.002992,0.002992,0.002992,0.002992,0.003988,0.001995,0.001995,0.0033897,1586.4,78
4,A,400,400,(26.6667 373.333),(373.333 373.333),0.001993,0.000997,0.001996,0.001995,0.002004,0.002982,0.001994,0.001995,0.001996,0.000996,0.0018948,1244.21,59
4,A,400,400,(26.6667 26.6667),(373.333 373.333),0.002993,0.001993,0.002993,0.002003,0.001986,0.000997,0.001995,0.000997,0.001996,0.000997,0.001895,1441.6,62
4,A,500,500,(33.3333 33.3333),(466.667 33.3333),0.000998,0.001994,0.001996,0.001997,0.001992,0.001994,0.000998,0.000997,0.001995,0.001995,0.0016956,1527.65,69
4,A,500,500,(33.3333 466.667),(466.667 33.3333),0.002978,0.002992,0.001995,0.002989,0.00399,0.002991,0.00399,0.002992,0.002993,0.002991,0.0030901,1983.01,78
4,A,500,500,(33.3333 466.667),(466.667 466.667),0.001996,0.001994,0.000998,0.001994,0.00399,0.00299,0.001996,0.001993,0.009976,0.002989,0.0030916,1555.26,59
