Depth,Map,Width,Height,PointA,PointB,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,AvgTime,Distance,NodesVisited
4,A,100,100,(6 6),(93 6),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,A,100,100,(6 93),(93 6),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,A,100,100,(6 93),(93 93),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,A,100,100,(6 6),(93 93),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,A,200,200,(13 13),(186 13),0.000998,0,0.000957,0,0.000998,0,0,0.001024,0,0.001012,0.0004989,303.292,116
4,A,200,200,(13 186),(186 13),0.000999,0.000996,0,0.000998,0,0.001028,0,0.000967,0,0.001023,0.0006011,349.015,117
4,A,200,200,(13 186),(186 186),0.001034,0,0.000987,0,0.000966,0,0.000995,0,0.000997,0,0.0004979,314.948,100
4,A,200,200,(13 13),(186 186),0.000972,0,0.001022,0,0,0.000998,0,0.000972,0.000999,0,0.0004963,269.224,97
4,A,400,400,(26 26),(373 26),0.000997,0,0.000997,0.000997,0,0.000997,0,0.000998,0.000997,0,0.0005983,607.24,116
4,A,400,400,(26 373),(373 26),0,0.001009,0.000986,0,0.000997,0,0.000996,0.000998,0,0.001005,0.0005991,699.343,117
4,A,400,400,(26 373),(373 373),0,0.000997,0.000997,0,0.000998,0,0.000996,0,0.000998,0,0.0004986,631.966,100
4,A,400,400,(26 26),(373 373),0.000999,0,0.000997,0,0.000997,0,0,0.000997,0,0.000997,0.0004987,539.863,97
4,A,500,500,(33 33),(466 33),0,0.000998,0.000997,0,0.000997,0.000998,0,0.000997,0,0.000999,0.0005986,757.806,116
4,A,500,500,(33 466),(466 33),0.000998,0,0,0.000998,0,0.001006,0,0.000988,0,0.000999,0.0004989,873.104,117
4,A,500,500,(33 466),(466 466),0,0.000998,0.000997,0,0.000997,0,0.000999,0,0,0.000996,0.0004987,789.067,100
4,A,500,500,(33 33),(466 466),0,0.000996,0,0.000998,0,0.000997,0.000998,0,0.000997,0,0.0004986,673.768,97
4,A,600,600,(40 40),(560 40),0.000998,0.000997,0,0.000997,0,0.000998,0.000998,0.000997,0,0.000996,0.0006981,909.068,116
4,A,600,600,(40 560),(560 40),0.000995,0.000998,0.000997,0.000998,0.000997,0.000997,0,0.000999,0.000996,0,0.0007977,1048.26,117
4,A,600,600,(40 560),(560 560),0.000998,0.000997,0.000999,0.000996,0.000997,0.000998,0,0.001994,0.000996,0.001996,0.0010971,948.278,100
4,A,600,600,(40 40),(560 560),0.000988,0,0.000999,0.000997,0.001005,0.000988,0,0.000999,0,0.000996,0.0006972,809.088,98
4,A,1000,1000,(66 66),(933 66),0.000997,0,0.000998,0,0.000997,0.000998,0,0.000997,0,0.000997,0.0005984,1516.3,116
